 Welcome to HYDRUS                                                       
 
 Program HYDRUS2
 Date:   6. 2.2018    Time:  15: 0:30
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = min  , M = mmol 
 

 Boundary length [L] associated with different types of boundary conditions

 Variable head or flux 1 boundary: 0.6916703E+01
 Atmospheric boundary:             0.6422225E+02
 Free or deep drainage boundary:   0.7000001E+02


 Time:           15.0000

    i      n      x        z    Code       Q            v           h        th      Temp  Conc(1-NS)   Qc(1-NS)
                 [L]      [L]            [V/T]        [L/T]        [L]      [-]       [C]    [M/L3]    [VM/T.L3]

   53    121     66.2      0.0   -4  0.00000E+00  0.00000E+00     -17.43  0.123     20.00
   54    122      3.8      0.0   -4  0.00000E+00  0.00000E+00     -17.45  0.123     20.00
   55    123      7.6      0.0   -4  0.00000E+00  0.00000E+00     -17.37  0.123     20.00
   56    124     11.3      0.0   -4  0.00000E+00  0.00000E+00     -17.24  0.124     20.00
   57    125     15.1      0.0   -4  0.00000E+00  0.00000E+00     -16.52  0.130     20.00
   58    126     18.9      0.0   -4  0.00000E+00  0.00000E+00     -14.86  0.143     20.00
   59    127     22.7      0.0   -4  0.00000E+00  0.00000E+00     -12.48  0.172     20.00
   60    128     26.4      0.0   -4  0.00000E+00  0.00000E+00      -9.74  0.221     20.00
   61    129     30.2      0.0   -4  0.00000E+00  0.00000E+00      -6.99  0.292     20.00


 Time:          180.0000

    i      n      x        z    Code       Q            v           h        th      Temp  Conc(1-NS)   Qc(1-NS)
                 [L]      [L]            [V/T]        [L/T]        [L]      [-]       [C]    [M/L3]    [VM/T.L3]

    1      1     70.0   -125.0   -6 -0.17690E-01  0.96029E-02     -10.21  0.210     20.00
    2      2      0.0   -125.0   -6 -0.17690E-01  0.96033E-02     -10.21  0.210     20.00
    3      3      0.0      0.0   -4  0.00000E+00  0.00000E+00     -18.75  0.115     20.00
    4      4     70.0      0.0   -4  0.00000E+00  0.00000E+00     -18.75  0.115     20.00
    5      5     36.0      0.0   -3  0.83114E+00 -0.42400E+00      -1.17  0.428     20.00
    6      6     35.0     -1.0   -3  0.60496E-01 -0.42400E+00      -2.28  0.418     20.00
    7      7     34.0      0.0   -3  0.83114E+00 -0.42400E+00      -1.22  0.428     20.00
    8      8     66.3   -125.0   -6 -0.35409E-01  0.96111E-02     -10.21  0.210     20.00
    9      9     62.6   -125.0   -6 -0.35529E-01  0.96437E-02     -10.20  0.210     20.00
   10     10     58.9   -125.0   -6 -0.35729E-01  0.96979E-02     -10.19  0.210     20.00
   11     11     55.3   -125.0   -6 -0.36058E-01  0.97871E-02     -10.18  0.211     20.00
   12     12     51.6   -125.0   -6 -0.36496E-01  0.99060E-02     -10.16  0.211     20.00
   13     13     47.9   -125.0   -6 -0.37007E-01  0.10045E-01     -10.15  0.212     20.00
   14     14     44.2   -125.0   -6 -0.37567E-01  0.10197E-01     -10.12  0.212     20.00
   15     15     40.5   -125.0   -6 -0.38116E-01  0.10346E-01     -10.10  0.213     20.00
   16     16     36.8   -125.0   -6 -0.38471E-01  0.10442E-01     -10.09  0.213     20.00
   17     17     33.2   -125.0   -6 -0.38256E-01  0.10384E-01     -10.10  0.213     20.00
   18     18     29.5   -125.0   -6 -0.38106E-01  0.10343E-01     -10.10  0.213     20.00
   19     19     25.8   -125.0   -6 -0.37569E-01  0.10197E-01     -10.12  0.212     20.00
   20     20     22.1   -125.0   -6 -0.37044E-01  0.10055E-01     -10.14  0.212     20.00
   21     21     18.4   -125.0   -6 -0.36550E-01  0.99208E-02     -10.16  0.211     20.00
   22     22     14.7   -125.0   -6 -0.36079E-01  0.97930E-02     -10.18  0.211     20.00
   23     23     11.1   -125.0   -6 -0.35738E-01  0.97003E-02     -10.19  0.211     20.00
   24     24      7.4   -125.0   -6 -0.35535E-01  0.96451E-02     -10.20  0.210     20.00
   25     25      3.7   -125.0   -6 -0.35412E-01  0.96118E-02     -10.21  0.210     20.00
   26     94     36.0     -0.1   -3  0.60495E-01 -0.42400E+00      -1.33  0.427     20.00
   27     95     36.0     -0.3   -3  0.60495E-01 -0.42400E+00      -1.50  0.426     20.00
   28     96     35.9     -0.4   -3  0.60495E-01 -0.42400E+00      -1.67  0.425     20.00
   29     97     35.8     -0.5   -3  0.60496E-01 -0.42400E+00      -1.82  0.423     20.00
   30     98     35.8     -0.7   -3  0.60495E-01 -0.42400E+00      -1.95  0.422     20.00
   31     99     35.7     -0.8   -3  0.60495E-01 -0.42400E+00      -2.05  0.421     20.00
   32    100     35.5     -0.8   -3  0.60496E-01 -0.42400E+00      -2.13  0.420     20.00
   33    101     35.4     -0.9   -3  0.60495E-01 -0.42400E+00      -2.20  0.419     20.00
   34    102     35.3     -1.0   -3  0.60495E-01 -0.42400E+00      -2.24  0.418     20.00
   35    103     35.1     -1.0   -3  0.60496E-01 -0.42400E+00      -2.27  0.418     20.00
   36    104     34.9     -1.0   -3  0.60496E-01 -0.42400E+00      -2.27  0.418     20.00
