Material,theta,h,log_h,C,K,log_K,S
3,0.0102,-404.0,2.6060000000000003,9.675e-07,4.417e-12,-11.35,0.0008
3,0.0102,-464.0,2.667,6.591e-07,1.8140000000000001e-12,-11.74,0.0006
3,0.0101,-534.0,2.727,4.4909999999999996e-07,7.454e-13,-12.13,0.0005
3,0.0101,-614.0,2.7880000000000003,3.059e-07,3.062e-13,-12.51,0.0004
3,0.0101,-705.0,2.8480000000000003,2.0839999999999999e-07,1.258e-13,-12.9,0.0003
3,0.0101,-811.0,2.909,1.42e-07,5.1679999999999994e-14,-13.29,0.0002
3,0.0101,-933.0,2.97,9.675e-08,2.123e-14,-13.67,0.0002
3,0.01,-1070.0,3.03,6.591e-08,8.721e-15,-14.06,0.0001
3,0.01,-1230.0,3.091,4.491e-08,3.583e-15,-14.45,0.0001
3,0.01,-1420.0,3.1519999999999997,3.059e-08,1.472e-15,-14.83,0.0001
3,0.01,-1630.0,3.2119999999999997,2.084e-08,6.046e-16,-15.22,0.0001
3,0.01,-1870.0,3.273,1.42e-08,2.484e-16,-15.6,0.0001
3,0.01,-2150.0,3.333,9.675e-09,1.02e-16,-15.99,0.0
3,0.01,-2480.0,3.3939999999999997,6.591e-09,4.192e-17,-16.38,0.0
3,0.01,-2850.0,3.455,4.491e-09,1.722e-17,-16.76,0.0
3,0.01,-3270.0,3.515,3.059e-09,7.074e-18,-17.15,0.0
3,0.01,-3760.0,3.576,2.084e-09,2.906e-18,-17.54,0.0
3,0.01,-4330.0,3.636,1.4199999999999999e-09,1.1940000000000002e-18,-17.92,0.0
3,0.01,-4980.0,3.697,9.675e-10,4.903999999999999e-19,-18.31,0.0
3,0.01,-5720.0,3.758,6.590999999999999e-10,2.015e-19,-18.7,0.0
3,0.01,-6580.0,3.818,4.4910000000000003e-10,8.276e-20,-19.08,0.0
3,0.01,-7560.0,3.8789999999999996,3.059e-10,3.4e-20,-19.47,0.0
3,0.01,-8700.0,3.9389999999999996,2.084e-10,1.3969999999999998e-20,-19.85,0.0
3,0.01,-10000.0,4.0,1.42e-10,5.7380000000000005e-21,-20.24,0.0
4,0.43,-0.0132,-1.879,0.0,0.01733,-1.761,1.0
4,0.43,-0.0152,-1.818,0.0,0.01733,-1.761,1.0
4,0.43,-0.0175,-1.758,0.0,0.01733,-1.761,1.0
4,0.43,-0.0201,-1.6969999999999998,0.0,0.01733,-1.761,1.0
4,0.43,-0.0231,-1.636,0.0,0.01733,-1.761,1.0
4,0.43,-0.0266,-1.5759999999999998,0.0,0.01733,-1.761,1.0
4,0.43,-0.0305,-1.515,0.0,0.01733,-1.761,1.0
4,0.43,-0.0351,-1.455,0.0,0.01733,-1.761,1.0
4,0.43,-0.0404,-1.3940000000000001,0.0,0.01733,-1.761,1.0
4,0.43,-0.0464,-1.3330000000000002,0.0,0.01733,-1.761,1.0
4,0.43,-0.0534,-1.273,0.0,0.01733,-1.761,1.0
4,0.43,-0.0614,-1.212,0.0,0.01733,-1.761,1.0
4,0.43,-0.0705,-1.1520000000000001,0.0,0.01733,-1.761,1.0
4,0.43,-0.0811,-1.091,0.0,0.01733,-1.761,1.0
4,0.43,-0.0933,-1.03,0.0,0.01733,-1.761,1.0
4,0.43,-0.107,-0.9697,0.0,0.01733,-1.761,1.0
4,0.43,-0.12300000000000001,-0.9091,0.0,0.01733,-1.761,1.0
4,0.43,-0.142,-0.8485,0.0,0.01733,-1.761,1.0
4,0.43,-0.163,-0.7879,0.0,0.01733,-1.761,1.0
4,0.43,-0.187,-0.7273,0.0,0.01733,-1.761,1.0
4,0.43,-0.215,-0.6667,0.0,0.01733,-1.761,1.0
4,0.43,-0.248,-0.6061,0.0,0.01733,-1.761,1.0
4,0.43,-0.285,-0.5455,0.0,0.01733,-1.761,1.0
4,0.43,-0.327,-0.4848,0.0,0.01733,-1.761,1.0
4,0.43,-0.376,-0.4242,0.0,0.01733,-1.761,1.0
4,0.43,-0.433,-0.3636,0.0,0.01733,-1.761,1.0
4,0.43,-0.498,-0.303,0.0,0.01733,-1.761,1.0
4,0.43,-0.5720000000000001,-0.2424,0.0,0.01733,-1.761,1.0
4,0.43,-0.6579999999999999,-0.1818,0.0,0.01733,-1.761,1.0
4,0.43,-0.7559999999999999,-0.1212,0.0,0.01733,-1.761,1.0
4,0.43,-0.87,-0.060610000000000004,0.0,0.01733,-1.761,1.0
4,0.43,-1.0,0.0,0.0,0.01733,-1.761,1.0
4,0.43,-1.15,0.060610000000000004,0.0,0.01733,-1.761,1.0
4,0.43,-1.32,0.1212,0.0,0.01733,-1.761,1.0
4,0.43,-1.52,0.1818,0.0,0.01733,-1.761,1.0
4,0.43,-1.75,0.2424,0.0,0.01733,-1.761,1.0
4,0.43,-2.01,0.303,0.001604,0.01731,-1.7619999999999998,1.0
4,0.4295,-2.31,0.3636,0.001725,0.01649,-1.7830000000000001,0.9985
4,0.4289,-2.66,0.4242,0.001852,0.01563,-1.806,0.9968
4,0.4281,-3.05,0.4848,0.001986,0.014730000000000002,-1.8319999999999999,0.9946
4,0.4272,-3.51,0.5455,0.0021260000000000003,0.0138,-1.86,0.9919
4,0.426,-4.04,0.6061,0.00227,0.012830000000000001,-1.892,0.9886
4,0.4246,-4.64,0.6667,0.0024170000000000003,0.01184,-1.9269999999999998,0.9846
4,0.4229,-5.34,0.7273,0.002565,0.01082,-1.966,0.9797
4,0.4207,-6.14,0.7879,0.002709,0.009798000000000001,-2.009,0.9737
4,0.4182,-7.05,0.8485,0.002848,0.008772,-2.057,0.9664
4,0.4151,-8.11,0.9091,0.002975,0.007756,-2.11,0.9577
4,0.4114,-9.33,0.9697,0.0030859999999999998,0.006764,-2.17,0.9472
4,0.4071,-10.7,1.03,0.0031739999999999997,0.00581,-2.2359999999999998,0.9348
4,0.4019,-12.3,1.091,0.0032329999999999998,0.004908,-2.309,0.9202
4,0.3959,-14.2,1.1520000000000001,0.003257,0.004072999999999999,-2.39,0.9031
4,0.389,-16.3,1.212,0.0032409999999999995,0.0033159999999999995,-2.479,0.8835
4,0.3812,-18.7,1.273,0.003181,0.002646,-2.577,0.8612
4,0.3724,-21.5,1.3330000000000002,0.003077,0.002068,-2.6839999999999997,0.8363
